# SCANS.tsv - which scan each transcription was made from, and proof it is that scan.
# IDENTITY IS THE sha256, NOT THE PATH. Rename or reorganise ~/bibliotek freely:
#   `python3 scans.py verify` re-finds a moved file by size then hash and tells you where it went.
# scan paths are relative to ~/bibliotek, unless they start with texts/ (the book's own directory).
# Several books legitimately share one scan (anthology volumes) - 59 books, 52 distinct scans.
# witness: USABLE = embedded text layer serves ocrdiff; NO LAYER = build a tesseract witness.
# Rebuild: scans.py rehash.   Seeded 2026-09-13.
book	scan	sha256	bytes	pages	page_size	witness	note
hoeffding/darwinismen	UNRESOLVED					SCAN NOT FOUND	no match - CONFIRM
hoeffding/erindringer	Høffding, Harald/1928-erindringer.pdf	ae8d8ab9445ea03d8d50a7aaab96a4d0090f5e5fdd2945d4f2e88413fddbe059	20549921	327	376.55 x 502.067 pts	USABLE	scan IS the 1928 Gyldendal first printing (327 pp., ABBYY layer, Slaegtsforskernes Bibliotek) - correct copy-text, NOT the Lindhardt og Ringhof e-book
hoeffding/forholdet-tro-viden	Høffding, Harald/1899-1913-mindre-arbejder-bd1.pdf	da845b6ac124c62d23d178896cf601b939715aa47a5bf129b217284c51bc71ed	217513861	263	595.275 x 841.889 pts (A4)	USABLE	
hoeffding/kants-udvikling	Høffding, Harald/1893-kontinuiteten-kants-udviklingsgang.pdf	bed91dce8646cb2efcb26a0545512a7eb4cc8b601c61694091f67a135a905cc9	42340200	58	585.55 x 711 pts	USABLE	
hoeffding/menneskelige-tanke	Høffding, Harald/1910-menneskelige-tanke.pdf	bf143da4e2f6a5dfb6c111b4d298608942c898123de65fece38d96831e694e23	18718787	413	595.275 x 841.889 pts (A4)	USABLE	
hoeffding/pascal-kierkegaard	Høffding, Harald/1923-pascal-kierkegaard.pdf	713a43e703656f82a0d1d3f14d8f620ddb1ea5c82b4706006ed19964f0f4766f	34864742	368	822.48 x 1318.32 pts	NO LAYER	
hoeffding/psykologi	Høffding, Harald/1885-psykologi-i-omrids-2udg.pdf	ccd44a40b74da21456286a9a107e74e6daf74532290245acaa392e97a87fdc5d	21323658	445	595.275 x 841.889 pts (A4)	USABLE	
hoeffding/realisme	Høffding, Harald/1899-1913-mindre-arbejder-bd1.pdf	da845b6ac124c62d23d178896cf601b939715aa47a5bf129b217284c51bc71ed	217513861	263	595.275 x 841.889 pts (A4)	USABLE	
hoeffding/relation-som-kategori	Høffding, Harald/1921-relation-som-kategori.pdf	d5629478669816a0bb4e8525c58563cfcdffe1a2b3d2cb1983a47c380d202fa6	39170183	114	407.9 x 612 pts	USABLE	
hoeffding/religion-og-videnskab	Høffding, Harald/1910-1911-religionshistoriske-smaaskrifter-bd1-6.pdf	cdfc6aeca23bbc9cf953199ce0eb929fb4bd7ac939c7ac1eae5600cf9be7d3a1	29717363	415	595.275 x 841.889 pts (A4)	USABLE	
hoeffding/religionsfilosofi	Høffding, Harald/1906-religionsfilosofi-2opl.pdf	d9dbf2259911db65942835479a87cb107fd91c65a72c7740a3482941fdd767be	24177460	383	595.275 x 841.889 pts (A4)	USABLE	
hoeffding/religionsfilosofiens-opgave	Høffding, Harald/1900-religionsfilosofiens-opgave.pdf	8b47cd328907cda5a951143cfd4d79999cd6ea051a43df11f5f2fc1c1f76c77c	3838777	11	415.1 x 657 pts	USABLE	
hoeffding/udvalgte-stykker	Høffding, Harald/1910-udvalgte-stykker-dansk-filosofisk-litteratur.pdf	09e0956d6093e0c83b672b9b2429ce20dd3ce8e3fc09b7130873f4bb7a2303ba	27778152	320	490.68 x 733.3 pts	USABLE	Hoeffding (ed.), Udvalgte Stykker af Dansk Filosofisk Litteratur, med Indledninger. Gyldendalske Boghandel Nordisk Forlag, Kbh.-Kristiania 1910. In the series Mindesmaerker af Danmarks National-Litteratur, afd. 3. Internet Archive scan, 320 pp. ANTHOLOGY - Hoeffding edits selections from other Danish philosophers, so other books may later draw on this same scan.
hoeffding/vort-hjem	Høffding, Harald/1903-vort-hjem.pdf	0f5d00907051b111a6fd35cc89c23306f268bf049daebf439f80e36c1e8cfc2b	5597499	16	458.64 x 725.52 pts	USABLE	
kierkegaard/essential-kierkegaard	UNRESOLVED					SCAN NOT FOUND	English anthology; may have no Danish scan - CONFIRM
kroman/hansen-relativitetsprincipet	UNRESOLVED					SCAN NOT FOUND	same volume? - CONFIRM
kroman/hansen-svar	UNRESOLVED					SCAN NOT FOUND	same volume? - CONFIRM
kroman/holst-relativitetsprincipet	UNRESOLVED					SCAN NOT FOUND	same volume as kroman/relativitetsprincipet? - CONFIRM
kroman/holst-tidsproblemet	UNRESOLVED					SCAN NOT FOUND	same volume? - CONFIRM
kroman/relativitetsprincipet	UNRESOLVED					SCAN NOT FOUND	only Kroman PDF in bibliotek is 130024709222-color.pdf - CONFIRM
kroman/walsoe-videnskabens-graense	UNRESOLVED					SCAN NOT FOUND	no Walsøe PDF found - CONFIRM
kroman/yderligere-bemaerkninger	UNRESOLVED					SCAN NOT FOUND	same volume? - CONFIRM
moller/affectation	Møller, Poul Martin/1855-56-efterladte-skrifter-3udg-bd3-4.pdf	114b4e30ac01b97a0c3cbdeb158fe7ba78e276f3389042ad2c94d3bc07ac449b	22010300	525	595.275 x 841.889 pts (A4)	USABLE	
moller/hvad-er-philosophie	Møller, Poul Martin/1855-56-efterladte-skrifter-3udg-bd3-4.pdf	114b4e30ac01b97a0c3cbdeb158fe7ba78e276f3389042ad2c94d3bc07ac449b	22010300	525	595.275 x 841.889 pts (A4)	USABLE	
moller/ironie	Møller, Poul Martin/1855-56-efterladte-skrifter-3udg-bd3-4.pdf	114b4e30ac01b97a0c3cbdeb158fe7ba78e276f3389042ad2c94d3bc07ac449b	22010300	525	595.275 x 841.889 pts (A4)	USABLE	
moller/moralphilosophi	Møller, Poul Martin/1855-56-efterladte-skrifter-3udg-bd5-6.pdf	24e678357711dc5b9dfd1139598baff500ee0ca0f1ef374e535de8f5a6943e4d	19658645	499	595.275 x 841.889 pts (A4)	USABLE	
moller/ontologien	Møller, Poul Martin/1855-56-efterladte-skrifter-3udg-bd3-4.pdf	114b4e30ac01b97a0c3cbdeb158fe7ba78e276f3389042ad2c94d3bc07ac449b	22010300	525	595.275 x 841.889 pts (A4)	USABLE	
moller/qvindelighed	UNRESOLVED					SCAN NOT FOUND	no match in 5 Møller volumes - CONFIRM
moller/students-eventyr	Møller, Poul Martin/1855-56-efterladte-skrifter-3udg-bd1-2.pdf	ee762080b405dd1762988e046ebb6840cbb841622db56a63deec832fd4b4d140	19954156	567	595.275 x 841.889 pts (A4)	USABLE	
moller/udoedelighed	UNRESOLVED					SCAN NOT FOUND	likely Møller, Poul Martin/Skrifter i Udvalg.pdf (1/7 probes) - CONFIRM
nielsen/darwinismen	Nielsen, Rasmus/1873-darwinismen.pdf	2bdc71d2fa1fa63d6bd832fce74a6534938670c1bcbc0795fa09af8d85ec001d	296835	11	350.4 x 547.44 pts	USABLE	
nielsen/evangelietroen-bevidsthed	Nielsen, Rasmus/1849-evangelietroen-bevidsthed.pdf	f091531ca670a72df6a829a28a0205b3ea0a3eb449eb4d84cea8ccf8e3c15560	24411671	551	595.275 x 841.889 pts (A4)	USABLE	
nielsen/evangelietroen-theologien	Nielsen, Rasmus/1850-evangelietroen-theologien.pdf	4c2821350fce06402d0a890841bdce1a0b994ef906961b3576cd9b56e67efc4f	37780592	195	595.275 x 841.889 pts (A4)	USABLE	
nielsen/grundideernes-logik	Nielsen, Rasmus/1864-grundideernes-logik.pdf	36bed3f8709f228cee1fe9d5af811cf089c39b35672867d65efdbabb4ff26870	14770041	494	343.68 x 564.48 pts	USABLE	
nielsen/grundideernes-logik-kort-begreb	Nielsen, Rasmus/1870-grundideernes-logik-kort-begreb.pdf	d740ad600b6593852ab86f8cb3c224e1b0e7490f365dbcb69b03f40481bf4da7	2247841	118	326.4 x 567.6 pts	USABLE	
nielsen/johannesclimacos	Nielsen, Rasmus/1849-johannesclimacos.pdf	f74e22332ac0c43502fb0a691f672769a0534583a357714cce62e7640086a372	5076824	146	316.32 x 499.44 pts	USABLE	
nielsen/logik-og-psychologie	Nielsen, Rasmus/1867-logik-og-psychologie.pdf	ed6a11ac27bfe9ed1053297d2c365350ba4deb9cae8c64392fda69f4b4b87573	21758756	502	361.68 x 597.12 pts	USABLE	
nielsen/mentale-tilstand	Nielsen, Rasmus/1858-mentale-tilstand.pdf	fe9c07aebe26e43378091a6285cccf4cc23723b43139d3261c3e6dd1cb35d852	2082193	46	378 x 617.52 pts	USABLE	Nordisk Universitets-Tidsskrift, 1858. Separate offprint, 46 pp.; Google scan of the Harvard Widener copy - not the whole journal volume.
nielsen/natur-og-aand	UNRESOLVED					SCAN NOT FOUND	no match - CONFIRM
nielsen/om-hindringer	Nielsen, Rasmus/1868-om-hindringer.pdf	594ccf9f09687286b9e7c0c3dd2b3cedbf23ca8d3deecde3f30def62902bbe76	99726648	343	595.275 x 841.889 pts (A4)	USABLE	
nielsen/om-oprindelige-forhold	Nielsen, Rasmus/1881-om-oprindelige-forhold.pdf	8f9038aa8138afb9aa203c44642f00c60c51757212501177be7dee958c20c3ed	5634788	83	595.275 x 841.889 pts (A4)	USABLE	
nielsen/om-personlig-sandhed	Nielsen, Rasmus/1854-om-personlig-sandhed.pdf	4a568b6d4a9f95450100ab12db561f3606ae6b23ec314ce955a58fbebe5b31de	33537118	157	595.275 x 841.889 pts (A4)	USABLE	
nielsen/philosophie-og-mathematik	Nielsen, Rasmus/1857-philosophie-og-mathematik.pdf	45c3c3123f316a2430ccf550dd28235a3950b9c4b5f277b1960d48a9de575671	21327814	93	595.275 x 841.889 pts (A4)	USABLE	
nielsen/philosophisk-propaedeutik	Nielsen, Rasmus/1857-philosophisk-propaedeutik.pdf	36977f13dc251b693215846de56c92fd574b3822262846f982c8f695d254dfe9	5459728	220	350.64 x 594.72 pts	USABLE	
nielsen/philosophiske-grundproblemer	Nielsen, Rasmus/1879-philosophiske-grundproblemer.pdf	7510b7b8f2d425d46329f74b44a83d7a4aff91268e1ba0b11e7513cd0a1cd451	42457112	91	595.275 x 841.889 pts (A4)	USABLE	
nielsen/propaedeutik-1860-61	Nielsen, Rasmus/1862-forelaesninger-over-philosophisk-propaedeutik.pdf	b37fde0a36d0f460ae8aa0e742c3b663605783ed4a96193ecb2f732e0777b2b9	12998956	498	356.64 x 560.4 pts	USABLE	
nielsen/propaedeutik-darwin	Nielsen, Rasmus/1862-forelaesninger-over-philosophisk-propaedeutik.pdf	b37fde0a36d0f460ae8aa0e742c3b663605783ed4a96193ecb2f732e0777b2b9	12998956	498	356.64 x 560.4 pts	USABLE	
nielsen/propaedeutiske-logik	Nielsen, Rasmus/1845-propaedeutiske-logik.pdf	05c33341d3cbc871e6af7cdfaf7ac72479fd346d852fb9d49383a7ca2377d34d	105437799	297	595.275 x 841.889 pts (A4)	USABLE	
nielsen/religionsphilosophie	Nielsen, Rasmus/1869-religionsphilosophie.pdf	6de1f8224b838e3811a34eb5b71dfb0621e0227c7db0116002b63a12deb03be7	177230056	557	595.275 x 841.889 pts (A4)	USABLE	
nielsen/speculative-methode	Nielsen, Rasmus/1842-speculative-methodes-anvendelse.pdf	029028a51e16c255d60464877ab2dffe13df5d970c9be141f0977101d7712aee	14429476	175	595.275 x 841.889 pts (A4)	USABLE	Den speculative Methodes Anvendelse paa den hellige Historie, Kbh: H.C. Klein 1842, 162 s. Danish version by B. C. Boeggild of Nielsen's 1840 Latin dissertation 'De speculativa historiae sacrae tractandae methodo'. Scan/transcription verified to match 2026-09-13. Public domain per KB.
nielsen/theologiens-naturbegreb	Nielsen, Rasmus/1855-theologiens-naturbegreb.pdf	9f54a8d9c1f7f26d99fbe4c472ad4a47c172ab8c055ff0e1864a3abc6cfca282	2474214	58	472.8 x 590.4 pts	USABLE	
nielsen/videnskabslaere	Nielsen, Rasmus/1880-videnskabslaere.pdf	d04796c0a224bf7f895bee54aed144c6e5ebd2bb3c5a42690d2b4e6cf36e9e8f	6188237	302	337.44 x 556.8 pts	USABLE	1880, never reprinted - the year alone identifies the edition
sibbern/bemaerkninger	Sibbern, Frederik/1838-bemaerkninger-hegels-philosophie.pdf	d808672749efc5dc0413b1901daa1421884f52cf47467724bacea2932729986a	52587476	169	595.275 x 841.889 pts (A4)	USABLE	
sibbern/erkjendelse	Sibbern, Frederik/1822-erkjendelse.pdf	8797c5ce9685403c430c099f1f8aa8331aa2eb9633a69e9a7a96a0cfe8343494	9658490	234	612 x 792 pts (letter)	USABLE	
sibbern/gabrielis	Sibbern, Frederik/1893-gabrielis-5udg.pdf	66d4a099a7e0466d897a9829bbd24903e57c212aabd6594c160c6adff34a8f09	5244257	364	612 x 792 pts (letter)	USABLE	FEMTE UDGAVE, Det Reitzelske Forlag (George C. Groen), Fr. Bagges Bogtrykkeri, Kbh. 1893, 364 pp., with a foreword by Harald Hoeffding. Google scan. NOT the original edition - the transcription is therefore of the 1893 fifth edition, not of Sibbern's first. Confirm this is intended.
sibbern/logikens-elementer	Sibbern, Frederik/1827-logik-som-taenkelaere.pdf	d5fe60de980870cf26b020a7d3508ba4a6b1721f286df2a97f60d32f8a78b5f1	14559977	407	595.275 x 841.889 pts (A4)	USABLE	
sibbern/om-elskov	Sibbern, Frederik/1858-om-elskov.pdf	cf543bb322433fe526d6643f7501b9604186d9c0ccff540b8ed906c37f281382	4903108	198	297.84 x 445.44 pts	USABLE	
sibbern/philosophiens-begreb	Sibbern, Frederik/1843-philosophiens-begreb.pdf	3c2f8a538c62203298bf9b91ab1e6d62145d41c4f984edc7b4e35b80f283e9cf	6293091	101	595.275 x 841.889 pts (A4)	USABLE	
treschow/almindelig-logik	Treschow, Niels/1813-almindelig-logik.pdf	46cd94d2f63e43a0d299376b461d1487580cbd6a98048b4db9043c3b688d14d7	171087999	345	1116 x 2022 pts	NO LAYER	
treschow/enslige-ting	Treschow, Niels/1810-vidensk-selsk-skr-ser3-bd5.pdf	29857071579dc838e3b474a7b976522898e8c2053488ad368f4c4035511716e5	46672458	632	446.4 x 559.872 pts	USABLE	
treschow/menneskelige-natur	Treschow, Niels/1812-menneskelige-natur.pdf	8ca4b1ca675553f55999234602e3abd206ae214fdb2325c78c4530a0ca194d68	258411867	511	1254 x 2094 pts	NO LAYER	
treschow/om-gud	Treschow, Niels/1831-om-gud.pdf	cd2e18d1021c0ed7b57f779eaa803ba7ec3fe4ceb2dc5129a4ee161cd11dc489	234743239	379	1284 x 2112 pts	NO LAYER	
