# ACCURACY LEDGER - what is known about each transcription's word-accuracy.
# Process: REPAIR-PLAYBOOK.md.  Seeded 2026-09-13.  TRACK THIS FILE IN GIT.
# status: unassessed | blocked-no-scan | sampled-clean | repair-targeted | repair-full | repaired | no-original
# rate is errors per page; a bound like <=0.25 means a clean sample, not a measurement of 0.
book	state	witness	size_kb	marks	sampled	errors	rate	ocrdiff_prec	treatment	status	date	note
nielsen/philosophiske-grundproblemer	published	USABLE	173	73	-	-	-	-	-	unassessed	-	
nielsen/philosophie-og-mathematik	published	USABLE	165	76	-	-	-	-	-	unassessed	-	
hoeffding/kants-udvikling	published	USABLE	164	54	-	-	-	-	-	unassessed	-	
hoeffding/religion-og-videnskab	published	USABLE	112	59	-	-	-	-	-	unassessed	-	
hoeffding/pascal-kierkegaard	published	NO LAYER	83	26	-	-	-	-	-	unassessed	-	
treschow/enslige-ting	published	USABLE	50	31	-	-	-	-	-	unassessed	-	
hoeffding/religionsfilosofi	published	USABLE	45	20	-	-	-	-	-	unassessed	-	
moller/affectation	published	USABLE	44	27	-	-	-	-	-	unassessed	-	
hoeffding/forholdet-tro-viden	published	USABLE	41	21	-	-	-	-	-	todo-retranscribe	-	TO DO: a scan EXISTS (mindre-arbejder.pdf (Mindre Arbejder bd.1, 1899-1913)). Re-transcribe diplomatically from it rather than leaving the derived text. Not scheduled.
moller/moralphilosophi	published	USABLE	40	23	-	-	-	-	-	unassessed	-	
hoeffding/darwinismen	published	SCAN NOT FOUND	37	0	-	-	-	-	-	blocked-no-scan	-	locate the scan before assessing - not the same as having no original
hoeffding/religionsfilosofiens-opgave	published	USABLE	30	11	-	-	-	-	-	unassessed	-	
hoeffding/realisme	published	USABLE	28	14	-	-	-	-	-	unassessed	-	
brochner/kierkegaard-virksomhed	published	USABLE	26	12	-	-	-	-	-	todo-retranscribe	-	TO DO: copy-text was Koch's 2016 critical edition (Scientia Danica H8 vol.13, (c) 2016, all rights reserved), not the 1855 Faedrelandet printing. Two faults: not a diplomatic transcription of the original, and in copyright. Withdrawn from catalog 2026-09-13 (status to-do, links emptied). Re-transcribe from Faedrelandet, 1 Dec 1855 - that printing still needs to be located. Not scheduled. Koch's edition is open access: http://publ.royalacademy.dk/books/679/4893?lang=da
hoeffding/vort-hjem	published	USABLE	26	9	-	-	-	-	-	unassessed	-	
moller/qvindelighed	published	SCAN NOT FOUND	18	10	-	-	-	-	-	blocked-no-scan	-	locate the scan before assessing - not the same as having no original
nielsen/darwinismen	published	USABLE	18	11	-	-	-	-	-	unassessed	-	
nielsen/om-oprindelige-forhold	published	USABLE	16	7	-	-	-	-	-	unassessed	-	
moller/students-eventyr	published	USABLE	15	7	-	-	-	-	-	unassessed	-	
brandes/levned	published	USABLE	13	0	-	-	-	-	-	unassessed	-	
hoeffding/psykologi	published	USABLE	12	0	-	-	-	-	-	unassessed	-	
brochner/brandes-levned	published	USABLE	6	4	-	-	-	-	-	unassessed	-	
nielsen/om-hindringer	published	USABLE	3	0	-	-	-	-	-	unassessed	-	
kierkegaard/essential-kierkegaard	unpublished	SCAN NOT FOUND	1476	0	-	-	-	-	-	blocked-no-scan	-	locate the scan before assessing - not the same as having no original
brochner/philosophiens-historie-2	unpublished	USABLE	1331	291	-	-	-	-	-	unassessed	-	
nielsen/natur-og-aand	unpublished	SCAN NOT FOUND	1326	549	-	-	-	-	-	blocked-no-scan	-	locate the scan before assessing - not the same as having no original
nielsen/evangelietroen-bevidsthed	unpublished	USABLE	1273	530	-	-	-	-	-	unassessed	-	
brochner/philosophiens-udvikling	unpublished	SCAN NOT FOUND	958	295	-	-	-	-	-	blocked-no-scan	-	locate the scan before assessing - not the same as having no original
sibbern/logikens-elementer	unpublished	USABLE	891	378	-	-	-	-	-	unassessed	-	
nielsen/propaedeutiske-logik	unpublished	USABLE	838	283	-	-	-	-	-	unassessed	-	
nielsen/speculative-methode	unpublished	USABLE	474	162	-	-	-	-	-	unassessed	-	
nielsen/philosophisk-propaedeutik	unpublished	USABLE	398	204	-	-	-	-	-	unassessed	-	
treschow/menneskelige-natur	unpublished	NO LAYER	373	262	-	-	-	-	-	unassessed	-	
nielsen/om-personlig-sandhed	unpublished	USABLE	283	143	-	-	-	-	-	unassessed	-	
sibbern/philosophiens-begreb	unpublished	USABLE	168	63	-	-	-	-	-	unassessed	-	
brochner/svar-nielsen	unpublished	USABLE	96	29	-	-	-	-	-	unassessed	-	
nielsen/theologiens-naturbegreb	unpublished	USABLE	89	44	-	-	-	-	-	unassessed	-	
kroman/relativitetsprincipet	unpublished	SCAN NOT FOUND	86	30	-	-	-	-	-	blocked-no-scan	-	locate the scan before assessing - not the same as having no original
nielsen/mentale-tilstand	unpublished	USABLE	77	29	-	-	-	-	-	unassessed	-	
hoeffding/erindringer	unpublished	USABLE	64	36	-	-	-	-	-	todo-retranscribe	-	TO DO: re-transcribe diplomatically from the 1928 Gyldendal printing (bibliotek scan, imprint verified 2026-09-13). The existing text is from the Lindhardt og Ringhof e-book; discard it and its invented page markers. Not scheduled.
kroman/yderligere-bemaerkninger	unpublished	SCAN NOT FOUND	46	14	-	-	-	-	-	blocked-no-scan	-	locate the scan before assessing - not the same as having no original
kroman/holst-tidsproblemet	unpublished	SCAN NOT FOUND	45	13	-	-	-	-	-	blocked-no-scan	-	locate the scan before assessing - not the same as having no original
moller/ontologien	unpublished	USABLE	45	25	-	-	-	-	-	unassessed	-	
kroman/hansen-svar	unpublished	SCAN NOT FOUND	42	12	-	-	-	-	-	blocked-no-scan	-	locate the scan before assessing - not the same as having no original
treschow/almindelig-logik	unpublished	NO LAYER	27	19	-	-	-	-	-	unassessed	-	
kroman/walsoe-videnskabens-graense	unpublished	SCAN NOT FOUND	23	5	-	-	-	-	-	blocked-no-scan	-	locate the scan before assessing - not the same as having no original
sibbern/gabrielis	unpublished	USABLE	20	10	-	-	-	-	-	unassessed	-	
hoeffding/udvalgte-stykker	unpublished	USABLE	16	9	-	-	-	-	-	unassessed	-	
moller/ironie	unpublished	USABLE	15	8	-	-	-	-	-	unassessed	-	
kroman/holst-relativitetsprincipet	unpublished	SCAN NOT FOUND	14	4	-	-	-	-	-	blocked-no-scan	-	locate the scan before assessing - not the same as having no original
treschow/om-gud	unpublished	NO LAYER	14	9	-	-	-	-	-	unassessed	-	
moller/hvad-er-philosophie	unpublished	USABLE	12	0	-	-	-	-	-	unassessed	-	
nielsen/propaedeutik-darwin	unpublished	USABLE	10	0	-	-	-	-	-	unassessed	-	
kroman/hansen-relativitetsprincipet	unpublished	SCAN NOT FOUND	5	0	-	-	-	-	-	blocked-no-scan	-	locate the scan before assessing - not the same as having no original
